id;name;description;difficulty;category
85;Haiku generator;Generate haiku poems;Beginner;Utilities
86;Hangman;Hangman word guessing game;Beginner;Games
87;Higher or Lower, Heads and Tails;Guess higher or lower and flip coins;Beginner;Games
88;Highest Prime Factor Calculator;Find the largest prime factor of a number;Intermediate;Math and Physics
89;ID3 Reader;Read ID3 metadata tags from audio files;Intermediate;Utilities
90;IMP interpreter;Interpreter for IMP language;Intermediate;Computer Science Concepts
91;IP Tracking Visualization;Visualize the geographic location of IP addresses;Intermediate;Networking and Communication
92;IP URL Obfuscation;Obfuscate IPs and URLs for privacy;Intermediate;Security and Encryption
93;IRC Client;Build a chat client for Internet Relay Chat;Intermediate;Networking and Communication
94;IRC bot;Internet Relay Chat bot;Intermediate;Networking and Communication
95;Image Converter;Utility to convert between image formats;Intermediate;Utilities
96;Image to ASCII Art;Convert images to ASCII art;Intermediate;Computer Graphics
97;Image viewer;View images;Beginner;Utilities
98;Imageboard;Create an image board web application;Intermediate;Web Development
99;Incremental economy simulator;Simulate an economy over time;Intermediate;Games
100;Internet time;Convert time to Swatch Internet Time;Beginner;Networking and Communication
101;Key Press Bot;Automate keyboard presses;Intermediate;Utilities
102;Klingon translator;Translate to Klingon language;Intermediate;AI/ML
103;Knight's Tour;Find the knight's tour on the chessboard;Intermediate;Algorithms and Data Structures
104;LIST Interpreter;Interpreter for the LIST language;Intermediate;Computer Science Concepts
105;Least Squares Fitting Algorithm;Use the least squares to fit data;Intermediate;Math and Physics
106;Linked list;Implement a linked list;Beginner;Algorithms and Data Structures
107;Lisp interpreter;Interpreter for Lisp language;Intermediate;Computer Science Concepts
108;Little Man computer simulation;Simulate the Little Man Computer;Intermediate;Computer Science Concepts
109;Love calculator;Calculate the love percentage between two names;Beginner;Utilities
110;MIDI Player + Editor;Make a program to play and edit MIDI music files;Advanced;Audio/Music
111;Magic eight ball;Simulate the magic eight ball;Beginner;Games
112;Make a Text Editor that autosaves and includes the data in the filename;Text editor with auto-save and filename based on content;Intermediate;Utilities
113;Make an application that is capable of mounting filesystems from other OSes using the FUSE model;Mount foreign filesystems in userspace;Advanced;Utilities
114;Make an elastic producer or consumer task queue;Implement a queue that can grow and shrink as needed for producers and consumers;Advanced;Utilities
115;Mandelbrot set;Generate the Mandelbrot set;Intermediate;Computer Graphics
116;Mandlebrot Set;Generate the Mandelbrot set fractal;Intermediate;Computer Graphics
117;Markdown (HTML or XML) Editor;Editor for Markdown and markup languages;Intermediate;Web Development
118;Markov Chain Sentence Generator;Generate random sentences using a Markov chain algorithm;Intermediate;AI/ML
119;Markov chains;Simulate Markov chains;Intermediate;AI/ML
120;Mastermind;Mastermind codebreaking game;Beginner;Games
121;Matrix Arithmetic;Library for matrix math;Intermediate;Math and Physics
122;Maze generator & solver;Generate and solve mazes;Intermediate;Games
123;Method ringing simulator;Campanology method ringing simulator;Intermediate;Audio/Music
124;Minesweeper;Clone of Minesweeper game;Beginner;Games
125;Missile Command Game;Clone of the Missile Command;Intermediate;Games
126;Monster Raising or Breeding Simulator;Simulate raising and breeding monster creatures;Intermediate;Games
127;Music Streaming;Stream music over the network;Intermediate;Audio/Music
128;Music Visualizer;Visualization of music;Intermediate;Audio/Music
129;N queens problem;Solve the N queens puzzle;Intermediate;Algorithms and Data Structures
130;N-Body Simulator, with particles having a certain mass and radius depending on the mass that merge if they collide;N-body physics simulation with merging;Advanced;Computer Graphics
131;Name art in ASCII;Draw art from text;Intermediate;Computer Graphics
132;Name generator;Generate random names;Beginner;Utilities
133;Nanogram Generator and Solver;Generate and solve nanogram puzzles;Intermediate;Games
134;Nintendo Oil Panic;Clone of the Nintendo Oil Panic game;Intermediate;Games
135;Oil Panic;Clone of the Nintendo Oil Panic game;Intermediate;Games
136;Old School Demo Effect;Implement retro computer demo effects;Intermediate;Computer Graphics
137;OpenAI Gym Project;Project using OpenAI Gym;Intermediate;AI/ML
138;PDF Tagger;Add tags and metadata to PDF files;Intermediate;Utilities
139;Pac Man, With Different Behaviors for each ghost;Pac Man with unique ghost AI;Intermediate;Games
140;Paint Clone;Recreate basic painting functionality;Intermediate;Computer Graphics
141;Palindrome checker;Check if a string is a palindrome;Beginner;Algorithms and Data Structures
142;Parametric or Graphic Equalizer for .wav files;Create an equalizer to modify audio files;Intermediate;Audio/Music
143;Pascal's triangle;Generate Pascal's triangle;Beginner;Math and Physics
144;Password & passphrase generator;Generate secure passwords;Beginner;Security and Encryption
145;Password Generator;Generate secure random passwords;Beginner;Security and Encryption
146;Password Manager;Program to securely store passwords;Intermediate;Security and Encryption
147;Perlin noise;Generate Perlin noise;Intermediate;Computer Graphics
148;Picross solver;Solve Picross logic puzzles;Intermediate;Games
149;Pipe Dreams;Clone of Pipe Dream game;Intermediate;Games
150;Pixel Editor;Editor for pixel art;Intermediate;Computer Graphics
151;Pong Game as a UEFI file in color;Pong game for UEFI;Intermediate;Games
152;Pong with variable vectors;Pong game with physics;Intermediate;Games
153;Port Scanner;Scan network ports;Intermediate;Networking and Communication
154;Prime number generator using a sieve;Generate primes with the sieve of Eratosthenes;Intermediate;Math and Physics
155;Program that displays MBR Contents;Read and parse the Master Boot Record;Intermediate;Utilities
156;Quine;Program that outputs its own source code;Intermediate;Computer Science Concepts
157;ROT 13;Implement ROT13 cipher;Beginner;Security and Encryption
158;RPN Calculator;Calculator with reverse Polish notation;Intermediate;Utilities
159;RSS feed reader;Read RSS feeds;Beginner;Web Development
160;Radix;Radix sort algorithm;Intermediate;Algorithms and Data Structures
161;Random Name Picker;Pick a random name;Beginner;Utilities
162;Random image generator;Generate random abstract images;Intermediate;Computer Graphics
163;Random sentence generator;Generate random sentences;Intermediate;AI/ML
164;Ray Tracer;Ray tracing renderer;Advanced;Computer Graphics
165;Read, Evaluate, Print Loop using a compiled language;REPL shell for a compiled language;Intermediate;Computer Science Concepts
166;Real Neural Network;Implement a neural network with matrices;Advanced;AI/ML
167;Real-Time Fast Fourier Transform Spectrum Visualizer;Visualize audio frequency spectrum in real-time;Advanced;Audio/Music
168;Reverse a string;Reverse a string;Beginner;Algorithms and Data Structures
169;Rock Paper Scissors;Rock-paper-scissors game;Beginner;Games
170;Roguelike Engine or Dungeon Generator;Randomly generated roguelike game;Intermediate;Games
171;Scientific calculator;Programmable calculator for math or science;Intermediate;Utilities
172;Scorched Earth Clone;Clone of Scorched Earth artillery game;Intermediate;Games
173;Seam Carving;Content-aware image resizing;Intermediate;Computer Graphics
174;Shazam;Identify music by listening to a sample, like Shazam;Intermediate;Audio/Music
175;Shuffle a Deck of Cards;Shuffle deck of cards visually;Intermediate;Games
176;Sierpinski Triangle;Generate Sierpinski triangle fractal;Intermediate;Computer Graphics
177;Simon;Clone of Simon memory game;Beginner;Games
178;Simple Version Control;Implement basic version control functionality;Intermediate;Utilities
179;Simple file explorer;Basic file browser;Intermediate;Utilities
180;Simple paint program;Basic painting program;Intermediate;Computer Graphics
181;Simulate a game of Tag using a multi-agent system;Simulate tag with AI agents;Advanced;Games
182;Sine wave generator from pseudorandom numbers;Generate Sine wave from PRNG;Intermediate;Audio/Music
183;Snake;Clone of the snake game;Beginner;Games
184;Sorting algorithms;Implement sorting algorithms;Intermediate;Algorithms and Data Structures
185;Sound Synthesis (Sine, square, sawtooth, etc..);Synthesize sound waves like sine and square waves;Intermediate;Audio/Music
186;Static Website Generator;Generator for static websites;Intermediate;Web Development
187;Stock Market Simulator Using Yahoo Spreadsheet Data;Simulate the stock market using real data from Yahoo Finance;Intermediate;Games
188;Sudoku;Sudoku puzzle game;Intermediate;Games
189;Sudoku or n-Puzzle Solver using A* algorithm;Solve puzzles like Sudoku with A*;Intermediate;Games
190;TCP chat with basic encryption;Encrypted TCP chat;Intermediate;Networking and Communication
191;TCP or UDP Chat Server + Client;Implement a chat server and client using TCP or UDP;Intermediate;Networking and Communication
192;TI-86 Emulator;Emulate a TI-86 calculator;Intermediate;Emulators
193;Telnet server;Telnet server;Intermediate;Networking and Communication
194;Temperature converter;Convert between temperature units;Beginner;Utilities
195;Terminal Shell;Implement a terminal shell;Intermediate;Utilities
196;Tetris;Clone of the Tetris game;Beginner;Games
197;Text & Morse code translator;Convert between text and Morse code;Intermediate;Utilities
198;Text editor;Text editor;Beginner;Utilities
199;Text to Hexadecimal or Binary;Convert text to hex or binary;Beginner;Utilities
200;Tic-tac-toe;Tic-tac-toe game;Beginner;Games
201;To-Do List Application;Build a to-do list app;Beginner;Utilities
202;Towers of Hanoi;Simulate the Towers of Hanoi puzzle;Intermediate;Algorithms and Data Structures
203;Triangle number calculator;Calculate triangular numbers;Intermediate;Math and Physics
204;Trivial File Transfer Protocol (TFTP);Implement a simple file transfer protocol;Intermediate;Networking and Communication
205;Tron;Clone of Tron light cycles game;Intermediate;Games
206;Turing Machine Simulator;Simulate a Turing machine;Intermediate;Algorithms and Data Structures
207;Two languages communicating with each other;Two programs communicating via sockets;Intermediate;Networking and Communication
208;Typing speed calculator;Calculate typing speed;Beginner;Utilities
209;Ulam Spiral;Generate the Ulam spiral;Intermediate;Math and Physics
210;Unicode Converter;Convert between text encodings;Intermediate;Utilities
211;Universal Asynchronous Receiver or Transmitter (UART) Game;Game using UART communication;Intermediate;Games
212;Verlet Integration;Use Verlet integration to simulate physics;Intermediate;Computer Graphics
213;Vign�re cipher encryption or decryption;Implement Vigen�re cipher;Intermediate;Security and Encryption
214;"Virtual Machine with a Script that Writes ""Hello, World""";Simple VM that prints hello world;Advanced;Emulators
215;WMS viewer that isn't web-based;Desktop WMS map viewer;Intermediate;Computer Graphics
216;Web Page Crawler;Crawl links on websites;Intermediate;Web Development
217;Web crawler;Crawl web links;Intermediate;Web Development
218;Window Manager;Custom window manager for an OS GUI;Intermediate;Utilities
219;Wolfenstein Clone;Clone of Wolfenstein 3D game;Intermediate;Games
220;Write an Interpreted LIST-like Programming Language;Custom programming language interpreter;Intermediate;Computer Science Concepts
221;Yahtzee;Yahtzee dice game;Intermediate;Games
222;YouTube to MP3;Download YouTube videos as MP3s;Intermediate;Web Development
